date,usd_jpy,cpi
2026-07-07,145.2,111.3
2026-07-08,145.65,111.3
2026-07-09,162.520634,
2026-07-10,162.37855,
2026-07-11,161.768905,
2026-07-12,161.787587,
2026-07-13,161.879691,
2026-07-14,162.309665,
2026-07-15,162.171846,
2026-07-16,162.155515,
2026-07-17,162.330823,
2026-07-18,162.400016,
2026-07-19,162.39225,
2026-07-20,162.488226,
2026-07-21,162.468102,
2026-07-22,163.013007,
2026-07-23,163.08664,
2026-07-24,163.692064,
2026-07-25,163.822652,
2026-07-26,163.809686,
2026-07-27,163.679291,
2026-07-28,163.722491,
2026-07-29,163.830599,
2026-07-30,163.530858,
2026-07-31,160.57454,
2026-08-01,158.537858,
2026-08-02,158.347104,
2026-08-03,158.015481,
2026-08-04,157.167068,
2026-08-05,157.619868,
2026-08-06,157.609606,
2026-08-07,158.205205,
2026-08-08,157.859145,
2026-08-09,157.926062,
2026-08-10,157.880961,
2026-08-11,158.95122,
2026-08-12,159.291518,
2026-08-13,159.290909,
2026-08-14,159.393562,
2026-08-15,159.237179,
2026-08-16,159.225847,
2026-08-17,159.20446,
2026-08-18,159.313933,
2026-08-19,159.590794,
2026-08-20,158.548543,
